Xanthomonas campestris pv. campestris str. 8004, complete genome. - 1..5148708
4273 proteins
Location	Strand	Length	PID	Gene	Synonym	Code	COG	Product
1268512..1268946	-	144	66572713	-	XC_1053	-	-	conserved hypothetical protein
1269226..1270743	+	505	66572714	-	XC_1054	-	-	IS1478 transposase
1270957..1271580	-	207	66572715	-	XC_1055	-	-	conserved hypothetical protein
1271594..1272457	-	287	66572716	-	XC_1056	-	-	type IV pre-pilin leader peptidase
1272464..1273720	-	418	66572717	-	XC_1057	-	-	fimbrial assembly protein
1274047..1274487	+	146	66572718	-	XC_1058	-	-	pilin
1274567..1275001	+	144	66572719	-	XC_1059	-	-	pilin
1275066..1276799	+	577	66572720	-	XC_1060	-	-	pilus biogenesis protein
1277218..1278621	-	467	66572721	-	XC_1061	-	-	two-component system regulatory protein
1278821..1280431	-	536	66572722	-	XC_1062	-	-	two-component system sensor protein
1280665..1281834	+	389	66572723	-	XC_1063	-	-	succinyl-CoA synthetase beta subunit
1281859..1282734	+	291	66572724	-	XC_1064	-	-	succinyl-CoA synthetase alpha subunit
1282754..1283248	+	164	66572725	-	XC_1065	-	-	hypothetical protein
1283252..1283554	+	100	66572726	-	XC_1066	-	-	conserved hypothetical protein
1283551..1285209	+	552	66572727	-	XC_1067	-	-	NH3-dependent NAD synthetase
1285203..1286189	-	328	66572728	-	XC_1068	-	-	conserved hypothetical protein
1286640..1287521	-	293	66572729	-	XC_1069	-	-	competence lipoprotein
1287644..1288639	+	331	66572730	-	XC_1070	-	-	ribosomal large subunit pseudouridine synthase D
1288641..1289441	+	266	66572731	-	XC_1071	-	-	conserved hypothetical protein
1289462..1289968	+	168	66572732	-	XC_1072	-	-	conserved hypothetical protein
1289955..1290374	+	139	66572733	-	XC_1073	-	-	conserved hypothetical protein
1290725..1292593	-	622	66572734	-	XC_1074	-	-	chemotaxis protein
1293126..1295600	-	824	66572735	-	XC_1075	-	-	glucose dehydrogenase
1296518..1297885	-	455	66572736	-	XC_1076	-	-	trehalose-6-phosphate synthase
1297882..1299660	-	592	66572737	-	XC_1077	-	-	conserved hypothetical protein
1299710..1300468	-	252	66572738	-	XC_1078	-	-	trehalose-6-phosphate phosphatase
1301163..1303598	-	811	66572739	-	XC_1079	-	-	ferric enterobactin receptor
1303836..1304276	+	146	66572740	-	XC_1080	-	-	conserved hypothetical protein
1304300..1305172	+	290	66572741	-	XC_1081	-	-	conserved hypothetical protein
1305310..1306911	+	533	66572742	-	XC_1082	-	-	conserved hypothetical protein
1306908..1308074	+	388	66572743	-	XC_1083	-	-	conserved hypothetical protein
1308224..1309270	+	348	66572744	-	XC_1084	-	-	conserved hypothetical protein
1309464..1310207	-	247	66572745	-	XC_1085	-	-	glutathione transferase
1310215..1310523	-	102	66572746	-	XC_1086	-	-	conserved hypothetical protein
1310696..1311109	+	137	66572747	-	XC_1087	-	-	ABC transporter ATP-binding subunit
1311263..1313848	+	861	66572748	-	XC_1088	-	-	ATP-dependent Clp protease subunit
1313979..1314872	+	297	66572749	-	XC_1089	-	-	conserved hypothetical protein
1315055..1316341	+	428	66572750	-	XC_1090	-	-	homocysteine synthase
1317233..1319113	+	626	66572751	-	XC_1091	-	-	outer membrane receptor for transport of vitamin B
1319293..1319829	+	178	66572752	-	XC_1092	-	-	conserved hypothetical protein
1319835..1320440	+	201	66572753	-	XC_1093	-	-	conserved hypothetical protein
1320437..1321048	+	203	66572754	-	XC_1094	-	-	cob(I)alamin adenolsyltransferase
1321051..1322349	+	432	66572755	-	XC_1095	-	-	cobyrinic acid a,c-diamide synthase
1322372..1323283	+	303	66572756	-	XC_1096	-	-	cobalamin biosynthesis protein
1323387..1325879	+	830	66572757	-	XC_1097	-	-	cobyric acid synthase
1325867..1326388	+	173	66572758	-	XC_1098	-	-	adenosyl cobinamide kinase/adenosyl cobinamide phosphate guanylyltransferase
1326385..1327431	+	348	66572759	-	XC_1099	-	-	nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase
1327428..1327997	+	189	66572760	-	XC_1100	-	-	conserved hypothetical protein
1327994..1328728	+	244	66572761	-	XC_1101	-	-	cobalamin synthase
1328769..1329728	+	319	66572762	-	XC_1102	-	-	transcriptional regulator araC family
1329650..1330933	-	427	66572763	-	XC_1103	-	-	diaminopimelate decarboxylase
1330930..1332699	-	589	66572764	-	XC_1104	-	-	iron transporter
1332677..1333855	-	392	66572765	-	XC_1105	-	-	transport protein
1333852..1335684	-	610	66572766	-	XC_1106	-	-	conserved hypothetical protein
1335651..1336940	-	429	66572767	-	XC_1107	-	-	conserved hypothetical protein
1337062..1339191	-	709	66572768	-	XC_1108	-	-	citrate-dependent iron transporter
1339192..1339953	-	253	66572769	-	XC_1109	-	-	4-hydroxy-2-oxovalerate aldolase
1340146..1341843	-	565	66572770	-	XC_1110	-	-	cation:proton antiporter
1342915..1344108	+	397	66572771	-	XC_1111	-	-	cytochrome P450 hydroxylase
1344211..1346463	-	750	66572772	-	XC_1112	-	-	ferric enterobactin receptor
1346941..1349361	-	806	66572773	-	XC_1113	-	-	ferric enterobactin receptor
1349604..1349999	-	131	66572774	-	XC_1114	-	-	conserved hypothetical protein
1350216..1352597	-	793	66572775	-	XC_1115	-	-	ferric enterobactin receptor
1352776..1354692	+	638	66572776	-	XC_1116	-	-	ABC transporter ATP-binding protein
1354743..1355243	+	166	66572777	-	XC_1117	-	-	conserved hypothetical protein
1355266..1356141	-	291	66572778	-	XC_1118	-	-	transcriptional activator ampR family
1356242..1357132	+	296	66572779	-	XC_1119	-	-	beta lactamase
1357348..1358367	+	339	66572780	-	XC_1120	-	-	xylanase
1358468..1360615	-	715	66572781	-	XC_1121	-	-	phospholipase C
1361028..1363436	-	802	66572782	-	XC_1122	-	-	TonB-dependent receptor
1363607..1365964	-	785	66572783	-	XC_1123	-	-	alpha,alpha-trehalose-phosphate synthase
1365961..1367202	-	413	66572784	-	XC_1124	-	-	transmembrane transport protein
1368097..1368396	+	99	66572785	-	XC_1125	-	-	conserved hypothetical protein
1368393..1369040	+	215	66572786	-	XC_1126	-	-	conserved hypothetical protein
1369347..1370117	-	256	66572787	-	XC_1127	-	-	conserved hypothetical protein
1370278..1372044	+	588	66572788	-	XC_1128	-	-	aspartyl-tRNA synthetase
1372392..1372919	+	175	66572789	-	XC_1129	-	-	acetyltransferase
1373104..1373703	+	199	66572790	-	XC_1130	-	-	conserved hypothetical protein
1373779..1374507	+	242	66572791	-	XC_1131	-	-	conserved hypothetical protein
1374637..1375161	+	174	66572792	-	XC_1132	-	-	holliday junction resolvase, endodeoxyribonuclease
1375274..1375858	+	194	66572793	-	XC_1133	-	-	holliday junction binding protein, DNA helicase
1376058..1377965	+	635	66572794	-	XC_1134	-	-	potassium uptake protein
1377968..1379089	+	373	66572795	-	XC_1135	-	-	hypothetical protein
1379129..1380169	+	346	66572796	-	XC_1136	-	-	holliday junction binding protein, DNA helicase
1380222..1380680	+	152	66572797	-	XC_1137	-	-	conserved hypothetical protein
1380692..1381471	+	259	66572798	-	XC_1138	-	-	TolQ protein
1381563..1382012	+	149	66572799	-	XC_1139	-	-	TolR protein
1382002..1383039	+	345	66572800	-	XC_1140	-	-	TolA protein
1383304..1384623	+	439	66572801	-	XC_1141	-	-	TolB protein
1384681..1385199	+	172	66572802	-	XC_1142	-	-	outer membrane protein P6 precursor
1385206..1386024	+	272	66572803	-	XC_1143	-	-	conserved hypothetical protein
1386069..1386752	+	227	66572804	-	XC_1144	-	-	radical activating enzyme
1386949..1387623	+	224	66572805	-	XC_1145	-	-	transcriptional regulator
1387752..1388177	-	141	66572806	-	XC_1146	-	-	conserved hypothetical protein
1388573..1388812	-	79	66572807	-	XC_1147	-	-	hypothetical protein
1388844..1389161	+	105	66572808	-	XC_1148	-	-	conserved hypothetical protein
1389216..1390226	+	336	66572809	-	XC_1149	-	-	two-component system sensor protein
1390223..1390573	+	116	66572810	-	XC_1150	-	-	two-component system regulatory protein
1390709..1391962	-	417	66572811	-	XC_1151	-	-	conserved hypothetical protein
1392532..1394331	+	599	66572812	-	XC_1152	-	-	chloride channel
1394404..1395321	-	305	66572813	-	XC_1153	-	-	transcriptional regulator lysR family
1395429..1396055	+	208	66572814	-	XC_1154	-	-	membrane transport protein
1396221..1396646	+	141	66572815	-	XC_1155	-	-	conserved hypothetical protein
1396809..1397156	-	115	66572816	-	XC_1156	-	-	hypothetical protein
1397744..1398007	-	87	66572817	-	XC_1157	-	-	conserved hypothetical protein
1398135..1398845	+	236	66572818	-	XC_1158	-	-	pseudouridylate synthase
1399187..1399333	-	48	66572819	-	XC_1159	-	-	conserved hypothetical protein
1400299..1400703	-	134	66572820	-	XC_1160	-	-	response regulator
1400782..1401264	-	160	66572821	-	XC_1161	-	-	conserved hypothetical protein
1401404..1403206	-	600	66572822	-	XC_1162	-	-	DNA helicase
1403561..1404112	-	183	66572823	-	XC_1163	-	-	DNA-binding related protein
1404200..1408315	+	1371	66572824	-	XC_1164	-	-	ATP dependent RNA helicase
1408567..1411203	-	878	66572825	-	XC_1165	-	-	TonB-dependent receptor
1411310..1412344	-	344	66572826	-	XC_1166	-	-	glucose kinase
1412687..1414174	-	495	66572827	-	XC_1167	-	-	conserved hypothetical protein
1414437..1414949	-	170	66572828	-	XC_1168	-	-	conserved hypothetical protein
1415010..1416140	-	376	66572829	-	XC_1169	-	-	PqqE protein
1416137..1416415	-	92	66572830	-	XC_1170	-	-	PqqC/D protein
1416412..1417164	-	250	66572831	-	XC_1171	-	-	PqqC protein
1417161..1418060	-	299	66572832	-	XC_1172	-	-	pyrroloquinoline quinone biosynthesis protein G
1418501..1420672	+	723	66572833	-	XC_1173	-	-	ATP:GTP 3'-pyrophosphotranferase
1420840..1422273	+	477	66572834	-	XC_1174	-	-	conserved hypothetical protein
1422349..1424451	-	700	66572835	-	XC_1175	-	-	glycosyl transferase
1424547..1426991	+	814	66572836	-	XC_1176	-	-	penicillin-binding protein 1B
1427004..1427528	+	174	66572837	-	XC_1177	-	-	conserved hypothetical protein
1428033..1430039	+	668	66572838	-	XC_1178	-	-	ATP-dependent helicase
1430515..1431234	+	239	66572839	-	XC_1179	-	-	conserved hypothetical protein
1431234..1432157	+	307	66572840	-	XC_1180	-	-	dinitrogenase reductase activating glycohydrolase
1432362..1433237	-	291	66572841	-	XC_1181	-	-	TonB protein
1433234..1434184	-	316	66572842	-	XC_1182	-	-	glutathione synthetase
1434422..1434823	+	133	66572843	-	XC_1183	-	-	pilus protein
1434841..1435203	+	120	66572844	-	XC_1184	-	-	PilH protein
1435200..1435733	+	177	66572845	-	XC_1185	-	-	pilus biogenesis protein
1435773..1437809	+	678	66572846	-	XC_1186	-	-	pilus biogenesis protein
1437872..1444909	+	2345	66572847	-	XC_1187	-	-	PilL protein
1444917..1446098	+	393	66572848	-	XC_1188	-	-	conserved hypothetical protein
1446133..1446609	+	158	66572849	-	XC_1190	-	-	conserved hypothetical protein
1446917..1447489	+	190	66572850	-	XC_1191	-	-	ribosomal protein alanine acetyltransferase
1447733..1449619	-	628	66572851	-	XC_1192	-	-	antifreeze glycopeptide AFGP related protein
1449616..1450188	-	190	66572852	-	XC_1193	-	-	RNA polymerase sigma-70 factor
1450276..1452132	-	618	66572853	-	XC_1194	-	-	conserved hypothetical protein
1452471..1453421	+	316	66572854	-	XC_1195	-	-	asparaginase
1453439..1454161	+	240	66572855	-	XC_1196	-	-	copper homeostasis protein
1454379..1455539	+	386	66572856	-	XC_1197	-	-	cytochrome P450 hydroxylase
1455532..1456446	+	304	66572857	-	XC_1198	-	-	sulfotransferase
1456443..1457144	+	233	66572858	-	XC_1199	-	-	conserved hypothetical protein
1457531..1458598	-	355	66572859	-	XC_1200	-	-	conserved hypothetical protein
1458998..1459321	+	107	66572860	-	XC_1201	-	-	RebB protein
1459390..1459605	-	71	66572861	-	XC_1202	-	-	conserved hypothetical protein
1460028..1460774	-	248	66572862	-	XC_1203	-	-	conserved hypothetical protein
1460771..1464061	-	1096	66572863	-	XC_1204	-	-	HsdR protein
1464058..1465305	-	415	66572864	-	XC_1205	-	-	type I restriction enzyme (specificity chain) homolog
1465576..1466436	-	286	66572865	-	XC_1206	-	-	DNA-damage-inducible protein d
1466423..1467931	-	502	66572866	-	XC_1207	-	-	type I restriction enzyme M protein
1467949..1468545	-	198	66572867	-	XC_1208	-	-	conserved hypothetical protein
1468706..1468966	+	86	66572868	-	XC_1209	-	-	conserved hypothetical protein
1469533..1472061	+	842	66572869	-	XC_1210	-	-	conserved hypothetical protein
1473169..1473462	+	97	66572870	-	XC_1211	-	-	ISxac3 transposase
1473507..1474334	+	275	66572871	-	XC_1212	-	-	ISxac3 transposase
1474796..1476124	+	442	66572872	-	XC_1213	-	-	virulence protein
1476358..1478199	-	613	66572873	-	XC_1214	-	-	beta-galactosidase
1478417..1480762	-	781	66572874	-	XC_1215	-	-	conserved hypothetical protein
1480899..1482416	-	505	66572875	-	XC_1216	-	-	conserved hypothetical protein
1482504..1485170	-	888	66572876	-	XC_1217	-	-	glucan 1,4-beta-glucosidase
1485432..1488113	-	893	66572877	-	XC_1218	-	-	beta-mannosidase
1488135..1490561	-	808	66572878	-	XC_1219	-	-	beta-hexosaminidase
1490741..1491802	-	353	66572879	-	XC_1220	-	-	conserved hypothetical protein
1491817..1493502	-	561	66572880	-	XC_1221	-	-	alpha-L-fucosidase
1493705..1496446	-	913	66572881	-	XC_1222	-	-	TonB-dependent receptor
1497152..1498168	+	338	66572882	-	XC_1223	-	-	glucose kinase
1498641..1499375	-	244	66572883	-	XC_1224	-	-	conserved hypothetical protein
1499366..1500784	-	472	66572884	-	XC_1225	-	-	adenosylmethionine-8-amino-7-oxononanoate aminotransferase
1500817..1501374	+	185	66572885	-	XC_1226	-	-	ADP compounds hydrolase
1501386..1502171	+	261	66572886	-	XC_1227	-	-	sulfite synthesis pathway protein
1502206..1503030	+	274	66572887	-	XC_1228	-	-	conserved hypothetical protein
1503027..1503362	+	111	66572888	-	XC_1229	-	-	conserved hypothetical protein
1503714..1504679	+	321	66572889	-	XC_1230	-	-	conserved hypothetical protein
1504683..1505117	+	144	66572890	-	XC_1231	-	-	conserved hypothetical protein
1505325..1506434	+	369	66572891	-	XC_1232	-	-	glycine cleavage T protein
1506574..1506969	+	131	66572892	-	XC_1233	-	-	glycine cleavage H protein
1508019..1508489	+	156	66572893	-	XC_1234	-	-	histone H1
1509985..1511364	-	459	66572894	-	XC_1235	-	-	beta-lactamase
1511704..1513068	+	454	66572895	-	XC_1236	-	-	conserved hypothetical protein
1513125..1513478	+	117	66572896	-	XC_1237	-	-	conserved hypothetical protein
1514167..1516641	-	824	66572897	-	XC_1238	-	-	acyl-CoA dehydrogenase
1516638..1517492	-	284	66572898	-	XC_1239	-	-	conserved hypothetical protein
1517700..1518308	+	202	66572899	-	XC_1240	-	-	transcriptional regulator
1518403..1521189	-	928	66572900	-	XC_1241	-	-	TonB-dependent receptor
1521417..1522283	-	288	66572901	-	XC_1242	-	-	conserved hypothetical protein
1522406..1523296	-	296	66572902	-	XC_1243	-	-	heat shock protein
1523369..1524109	+	246	66572903	-	XC_1244	-	-	monofunctional biosynthetic peptidoglycan transglycosylase
1524121..1525164	+	347	66572904	-	XC_1245	-	-	glucosyl transferase
1525124..1525552	+	142	66572905	-	XC_1246	-	-	conserved hypothetical protein
1525562..1527517	-	651	66572906	-	XC_1247	-	-	conserved hypothetical protein
1527569..1528213	-	214	66572907	-	XC_1248	-	-	hemolysin III
1528289..1529893	-	534	66572908	-	XC_1249	-	-	peptide chain release factor 3
1530009..1530863	-	284	66572909	-	XC_1250	-	-	conserved hypothetical protein
1531231..1532262	+	343	66572910	-	XC_1251	-	-	homoserine O-acetyltransferase
1532259..1533476	+	405	66572911	-	XC_1252	-	-	cystathionine gamma-synthase
1533473..1534561	+	362	66572912	-	XC_1253	-	-	homoserine dehydrogenase
1534838..1535833	-	331	66572913	-	XC_1254	-	-	hydrolase
1536424..1537806	-	460	66572914	-	XC_1255	-	-	L-serine dehydratase
1537893..1538129	+	78	66572915	-	XC_1256	-	-	conserved hypothetical protein
1538204..1538773	-	189	66572916	-	XC_1257	-	-	conserved hypothetical protein
1538784..1539347	-	187	66572917	-	XC_1258	-	-	cytochrome B561
1539344..1540021	-	225	66572918	-	XC_1259	-	-	conserved hypothetical protein
1540118..1543678	+	1186	66572919	-	XC_1260	-	-	histidine kinase/response regulator hybrid protein
1543760..1547302	+	1180	66572920	-	XC_1261	-	-	histidine kinase/response regulator hybrid protein
1547786..1551370	+	1194	66572921	-	XC_1262	-	-	histidine kinase/response regulator hybrid protein
1551750..1553171	-	473	66572922	-	XC_1263	-	-	MFS transporter
1553440..1553697	-	85	66572923	-	XC_1264	-	-	hypothetical protein
1554152..1555216	-	354	66572924	-	XC_1265	-	-	uroporphyrinogen decarboxylase
1555229..1555480	-	83	66572925	-	XC_1266	-	-	conserved hypothetical protein
1555968..1556330	+	120	66572926	-	XC_1267	-	-	pyridoxamine 5'-phosphate oxidase
1556384..1557520	-	378	66572927	-	XC_1268	-	-	3-dehydroquinate synthase
1557493..1558053	-	186	66572928	-	XC_1269	-	-	shikimate kinase
1558230..1558829	+	199	66572929	-	XC_1270	-	-	pyridoxamine 5'-phosphate oxidase
1558960..1559433	+	157	66572930	-	XC_1271	-	-	conserved hypothetical protein
1559446..1560219	+	257	66572931	-	XC_1272	-	-	conserved hypothetical protein
1560246..1561328	+	360	66572932	-	XC_1273	-	-	potassium channel related protein
1561331..1562002	+	223	66572933	-	XC_1274	-	-	conserved hypothetical protein
1562037..1562441	+	134	66572934	-	XC_1275	-	-	conserved hypothetical protein
1562454..1563029	+	191	66572935	-	XC_1276	-	-	conserved hypothetical protein
1563031..1564197	+	388	66572936	-	XC_1277	-	-	synthetase/amidase
1564391..1564510	+	39	66572937	-	XC_1278	-	-	hypothetical protein
1564883..1566160	-	425	66572938	-	XC_1279	-	-	MFS transporter
1566357..1566803	+	148	66572939	-	XC_1280	-	-	transcriptional regulator soxR family
1566834..1567118	+	94	66572940	-	XC_1281	-	-	conserved hypothetical protein
1567194..1568876	+	560	66572941	-	XC_1282	-	-	peptidase
1568873..1569112	-	79	66572942	-	XC_1283	-	-	hypothetical protein
1569615..1572758	+	1047	66572943	-	XC_1284	-	-	TonB-dependent receptor
1572855..1573796	+	313	66572944	-	XC_1285	-	-	conserved hypothetical protein
1573807..1574838	+	343	66572945	-	XC_1286	-	-	conserved hypothetical protein
1574876..1576372	+	498	66572946	-	XC_1287	-	-	tryptophan halogenase
1577039..1577611	-	190	66572947	-	XC_1288	-	-	conserved hypothetical protein
1577682..1577933	+	83	66572948	-	XC_1289	-	-	conserved hypothetical protein
1578188..1579663	+	491	66572949	-	XC_1290	-	-	protein-glutamate methylesterase (CheB)
1579841..1580761	-	306	66572950	-	XC_1291	-	-	endoproteinase Arg-C
1580718..1581239	-	173	66572951	-	XC_1292	-	-	endoproteinase Arg-C
1581739..1583118	-	459	66572952	-	XC_1293	-	-	amino acid transporter
1583149..1583316	+	55	66572953	-	XC_1294	-	-	hypothetical protein
1583309..1584073	+	254	66572954	-	XC_1295	-	-	transcriptional regulator ahyR/asaR family
1584512..1585453	+	313	66572955	-	XC_1296	-	-	proline imino-peptidase
1585686..1586381	-	231	66572956	-	XC_1297	-	-	hypothetical protein
1586666..1587727	+	353	66572957	-	XC_1298	-	-	pectate lyase II
1588158..1589543	+	461	66572958	-	XC_1299	-	-	amino acid transporter
1589910..1591307	+	465	66572959	-	XC_1300	-	-	quinol oxidase, subunit I
1591307..1592323	+	338	66572960	-	XC_1301	-	-	quinol oxidase, subunit II
1592592..1593386	-	264	66572961	-	XC_1302	-	-	conserved hypothetical protein
1593485..1594846	-	453	66572962	-	XC_1303	-	-	Mg++ transporter
1594990..1596720	-	576	66572963	-	XC_1304	-	-	phosphotransferase system enzyme I
1596779..1597048	-	89	66572964	-	XC_1305	-	-	phosphotransferase system HPr enzyme
1597041..1597433	-	130	66572965	-	XC_1306	-	-	conserved hypothetical protein
1597946..1598794	-	282	66572966	-	XC_1307	-	-	conserved hypothetical protein
1598815..1599765	-	316	66572967	-	XC_1308	-	-	HPr kinase/phosphatase
1599762..1600220	-	152	66572968	-	XC_1309	-	-	nitrogen regulatory IIA protein
1600242..1600559	-	105	66572969	-	XC_1310	-	-	sigma-54 modulation protein
1600647..1602083	-	478	66572970	-	XC_1311	-	-	RNA polymerase sigma-54 factor
1602123..1602842	-	239	66572971	-	XC_1312	-	-	ABC transporter ATP-binding protein
1602842..1603378	-	178	66572972	-	XC_1313	-	-	conserved hypothetical protein
1603356..1603931	-	191	66572973	-	XC_1314	-	-	conserved hypothetical protein
1603928..1604476	-	182	66572974	-	XC_1315	-	-	conserved hypothetical protein
1604525..1605526	-	333	66572975	-	XC_1316	-	-	polysialic acid capsule expression protein
1605580..1605807	+	75	66572976	-	XC_1317	-	-	conserved hypothetical protein
1605922..1607196	+	424	66572977	-	XC_1318	-	-	UDP-N-acetylglucosamine 1-carboxyvinyltransferase
1607193..1607516	+	107	66572978	-	XC_1319	-	-	conserved hypothetical protein
1607811..1608419	-	202	66572979	-	XC_1320	-	-	conserved hypothetical protein
1608498..1609322	-	274	66572980	-	XC_1321	-	-	conserved hypothetical protein
1609359..1610012	-	217	66572981	-	XC_1322	-	-	5'-phosphoribosylglycinamide transformylase
1610047..1610505	-	152	66572982	-	XC_1323	-	-	conserved hypothetical protein
1610522..1611547	-	341	66572983	-	XC_1324	-	-	phosphoribosylformylglycinamide cyclo-ligase
1611626..1612789	+	387	66572984	-	XC_1325	-	-	conserved hypothetical protein
1612786..1613952	+	388	66572985	-	XC_1326	-	-	permease
1613949..1614650	+	233	66572986	-	XC_1327	-	-	replication related protein
1614668..1615378	-	236	66572987	-	XC_1328	-	-	nucleotidyl transferase
1615375..1616412	-	345	66572988	-	XC_1329	-	-	conserved hypothetical protein
1616467..1616739	-	90	66572989	-	XC_1330	-	-	conserved hypothetical protein
1616903..1618396	-	497	66572990	-	XC_1331	-	-	succinyl-diaminopimelate desuccinylase
1618596..1618928	+	110	66572991	-	XC_1332	-	-	DNA transport competence protein
1619430..1619999	+	189	66572992	-	XC_1333	-	-	conserved hypothetical protein
1620152..1621756	-	534	66572993	-	XC_1334	-	-	sulfite reductase
1621753..1622673	-	306	66572994	-	XC_1335	-	-	thiamine biosynthesis lipoprotein ApbE precursor
1622946..1623749	-	267	66572995	-	XC_1336	-	-	conserved hypothetical protein
1623901..1624416	-	171	66572996	-	XC_1337	-	-	conserved hypothetical protein
1624440..1625084	-	214	66572997	-	XC_1338	-	-	conserved hypothetical protein
1625090..1625848	-	252	66572998	-	XC_1339	-	-	conserved hypothetical protein
1625841..1626527	-	228	66572999	-	XC_1340	-	-	conserved hypothetical protein
1626576..1628894	-	772	66573000	-	XC_1341	-	-	TonB-dependent receptor
1629238..1629567	-	109	66573001	-	XC_1342	-	-	benzene 1,2-dioxygenase, ferredoxin protein
1629564..1630103	-	179	66573002	-	XC_1343	-	-	acetyltransferase
1630337..1631578	-	413	66573003	-	XC_1344	-	-	cysteine desulfurase
1631575..1632837	-	420	66573004	-	XC_1345	-	-	ABC transporter permease
1632837..1633601	-	254	66573005	-	XC_1346	-	-	ABC transporter ATP-binding protein
1633766..1635223	-	485	66573006	-	XC_1347	-	-	ABC transporter permease
1635239..1635697	-	152	66573007	-	XC_1348	-	-	conserved hypothetical protein
1635919..1636338	+	139	66573008	-	XC_1349	-	-	conserved hypothetical protein
1636446..1636988	+	180	66573009	-	XC_1350	-	-	protease
1637089..1637685	-	198	66573010	-	XC_1351	-	-	conserved hypothetical protein
1637896..1638435	-	179	66573011	-	XC_1352	-	-	conserved hypothetical protein
1638489..1638812	-	107	66573012	-	XC_1353	-	-	conserved hypothetical protein
1638890..1639480	-	196	66573013	-	XC_1354	-	-	peptidase
1639624..1640046	-	140	66573014	-	XC_1355	-	-	histone-like protein
1640591..1641523	-	310	66573015	-	XC_1356	-	-	pyrroline-5-carboxylate reductase
1641492..1642175	-	227	66573016	-	XC_1357	-	-	conserved hypothetical protein
1642463..1643500	+	345	66573017	-	XC_1358	-	-	twitching motility protein
1643623..1644753	+	376	66573018	-	XC_1359	-	-	twitching motility protein
1645051..1645707	+	218	66573019	-	XC_1360	-	-	conserved hypothetical protein
1645721..1646620	-	299	66573020	-	XC_1361	-	-	conserved hypothetical protein
1646843..1648117	-	424	66573021	-	XC_1362	-	-	conserved hypothetical protein
1648114..1648653	-	179	66573022	-	XC_1363	-	-	DNA-3-methyladenine glycosylase I
1648650..1650506	-	618	66573023	-	XC_1364	-	-	conserved hypothetical protein
1650585..1651151	+	188	66573024	-	XC_1365	-	-	transcriptional regulator
1651144..1651611	+	155	66573025	-	XC_1366	-	-	conserved hypothetical protein
1651627..1652574	+	315	66573026	-	XC_1367	-	-	aspartate carbamoyltransferase
1652942..1653376	+	144	66573027	-	XC_1368	-	-	osmotically inducible protein
1653559..1654131	+	190	66573028	-	XC_1369	-	-	conserved hypothetical protein
1654523..1655404	-	293	66573029	-	XC_1370	-	-	conserved hypothetical protein
1655436..1656314	-	292	66573030	-	XC_1371	-	-	conserved hypothetical protein
1656510..1659119	+	869	66573031	-	XC_1372	-	-	diaminopimelate decarboxylase
1659103..1659561	+	152	66573032	-	XC_1373	-	-	conserved hypothetical protein
1659558..1660913	+	451	66573033	-	XC_1374	-	-	conserved hypothetical protein
1660894..1662300	+	468	66573034	-	XC_1375	-	-	UDP-N-acetylmuramoylalanine-D-glutamate ligase
1662499..1663254	+	251	66573035	-	XC_1376	-	-	conserved hypothetical protein
1663498..1664496	-	332	66573036	-	XC_1377	-	-	octaprenyl-diphosphate synthase
1664777..1665295	+	172	66573037	-	XC_1378	-	-	single-stranded DNA binding protein
1665568..1665783	+	71	66573038	-	XC_1379	-	-	conserved hypothetical protein
1665787..1668315	+	842	66573039	-	XC_1380	-	-	McrB-related protein
1668299..1669615	+	438	66573040	-	XC_1381	-	-	conserved hypothetical protein
1670077..1670217	+	46	66573041	-	XC_1382	-	-	sensor histidine kinase
1670345..1671364	-	339	66573042	-	XC_1383	-	-	response regulator
1672147..1673154	+	335	66573043	-	XC_1384	-	-	alcohol dehydrogenase
1673488..1674156	+	222	66573044	-	XC_1385	-	-	oxidoreductase
1674153..1675103	+	316	66573045	-	XC_1386	-	-	oxidoreductase
1675105..1677312	+	735	66573046	-	XC_1387	-	-	oxidoreductase
1677342..1678316	+	324	66573047	-	XC_1388	-	-	conserved hypothetical protein
1678992..1679621	+	209	66573048	-	XC_1389	-	-	conserved hypothetical protein
1680183..1680278	-	31	66573049	-	XC_1390	-	-	hypothetical protein
1680560..1680775	+	71	66573050	-	XC_1391	-	-	conserved hypothetical protein
1681041..1682291	+	416	66573051	-	XC_1392	-	-	conserved hypothetical protein
1682453..1683649	-	398	66573052	-	XC_1394	-	-	phospholipase A1
1683686..1684357	-	223	66573053	-	XC_1395	-	-	accessory protein
1684712..1685389	+	225	66573054	-	XC_1396	-	-	hydrolase
1686102..1686326	-	74	66573055	-	XC_1397	-	-	conserved hypothetical protein
1686326..1688398	-	690	66573056	-	XC_1398	-	-	carbon starvation protein A
1688631..1689491	+	286	66573057	-	XC_1399	-	-	pirin
1689525..1689959	+	144	66573058	-	XC_1400	-	-	conserved hypothetical protein
1690214..1690675	-	153	66573059	-	XC_1401	-	-	conserved hypothetical protein
1690925..1691815	-	296	66573060	-	XC_1402	-	-	pirin-related protein
1692181..1692891	-	236	66573061	-	XC_1403	-	-	endonuclease V
1692995..1693744	+	249	66573062	-	XC_1404	-	-	phosphoglycerate mutase
1693829..1694209	+	126	66573063	-	XC_1405	-	-	conserved hypothetical protein
1694375..1696474	+	699	66573064	-	XC_1406	-	-	metallopeptidase
